,episodes,score,scored_by,rank,popularity,members,favorites,duration_min,Shounen,Shoujo,Seinen,Ecchi,Mecha,Supernatural,SliceofLife,Action,Adventure,Comedy,Drama,Magic,Romance,type_ONA,type_OVA,type_special,pg13,pg17,90s,00s,10s
3354,2,7.58,25763,1418.0,1545,49238,41,30.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1
3355,89,6.81,457,4287.0,4565,5920,25,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3356,20,6.33,757,6290.0,6082,2861,0,12.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
3357,12,6.84,6551,4172.0,3399,12097,14,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
3359,12,7.41,2654,1970.0,3799,9279,4,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
3360,26,7.36,2777,2210.0,3365,12452,38,23.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
3364,24,6.87,6371,4025.0,2975,16043,35,24.0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
3366,4,6.42,198,5906.0,6550,2308,2,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
3367,5,7.46,2729,1778.0,4682,5561,4,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
3368,2,7.74,6568,1023.0,3307,13020,36,30.0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0
3370,10,7.01,1752,3532.0,5314,3981,14,22.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
3371,4,7.58,6052,,3148,14369,167,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
